0,1,2,3
40920.0,8.326976,0.953952,3.0
14488.0,7.153469,1.673904,2.0
26052.0,1.441871,0.805124,1.0
75136.0,13.147394,0.428964,1.0
38344.0,1.669788,0.134296,1.0
72993.0,10.14174,1.032955,1.0
35948.0,6.830792,1.213192,3.0
42666.0,13.276369,0.54388,3.0
67497.0,8.631577,0.749278,1.0
35483.0,12.273169,1.508053,3.0
50242.0,3.723498,0.831917,1.0
63275.0,8.385879,1.669485,1.0
5569.0,4.875435,0.728658,2.0
51052.0,4.680098,0.625224,1.0
77372.0,15.29957,0.331351,1.0
43673.0,1.889461,0.191283,1.0
61364.0,7.516754,1.269164,1.0
69673.0,14.239195,0.261333,1.0
15669.0,0.0,1.250185,2.0
28488.0,10.528555,1.304844,3.0
6487.0,3.540265,0.822483,2.0
37708.0,2.991551,0.83392,1.0
22620.0,5.297865,0.638306,2.0
28782.0,6.593803,0.187108,3.0
19739.0,2.81676,1.686209,2.0
36788.0,12.458258,0.649617,3.0
5741.0,0.0,1.656418,2.0
28567.0,9.968648,0.731232,3.0
6808.0,1.364838,0.640103,2.0
41611.0,0.230453,1.151996,1.0
36661.0,11.865402,0.88281,3.0
43605.0,0.12046,1.352013,1.0
15360.0,8.545204,1.340429,3.0
63796.0,5.856649,0.160006,1.0
10743.0,9.665618,0.778626,2.0
70808.0,9.778763,1.084103,1.0
72011.0,4.932976,0.632026,1.0
5914.0,2.216246,0.587095,2.0
14851.0,14.305636,0.632317,3.0
33553.0,12.591889,0.686581,3.0
44952.0,3.424649,1.004504,1.0
17934.0,0.0,0.147573,2.0
27738.0,8.533823,0.205324,3.0
29290.0,9.829528,0.23862,3.0
42330.0,11.492186,0.263499,3.0
36429.0,3.570968,0.832254,1.0
39623.0,1.771228,0.207612,1.0
32404.0,3.513921,0.991854,1.0
27268.0,4.398172,0.975024,1.0
5477.0,4.276823,1.174874,2.0
14254.0,5.946014,1.614244,2.0
68613.0,13.79897,0.724375,1.0
41539.0,10.393591,1.663724,3.0
7917.0,3.007577,0.297302,2.0
21331.0,1.031938,0.486174,2.0
8338.0,4.751212,0.064693,2.0
5176.0,3.692269,1.655113,2.0
18983.0,10.448091,0.267652,3.0
68837.0,10.585786,0.329557,1.0
13438.0,1.604501,0.069064,2.0
48849.0,3.679497,0.961466,1.0
12285.0,3.795146,0.696694,2.0
7826.0,2.531885,1.659173,2.0
5565.0,9.73334,0.977746,2.0
10346.0,6.093067,1.413798,2.0
1823.0,7.71296,1.054927,2.0
9744.0,11.470364,0.760461,3.0
16857.0,2.886529,0.934416,2.0
39336.0,10.054373,1.138351,3.0
65230.0,9.97247,0.881876,1.0
2463.0,2.335785,1.366145,2.0
27353.0,11.375155,1.528626,3.0
16191.0,0.0,0.605619,2.0
12258.0,4.126787,0.357501,2.0
42377.0,6.319522,1.058602,1.0
25607.0,8.680527,0.086955,3.0
77450.0,14.856391,1.129823,1.0
58732.0,2.454285,0.22238,1.0
46426.0,7.292202,0.548607,3.0
32688.0,8.745137,0.857348,3.0
64890.0,8.579001,0.683048,1.0
8554.0,2.507302,0.869177,2.0
28861.0,11.415476,1.505466,3.0
42050.0,4.83854,1.680892,1.0
32193.0,10.339507,0.583646,3.0
64895.0,6.573742,1.151433,1.0
2355.0,6.539397,0.462065,2.0
0.0,2.209159,0.723567,2.0
70406.0,11.196378,0.836326,1.0
57399.0,4.229595,0.128253,1.0
41732.0,9.505944,0.005273,3.0
11429.0,8.652725,1.348934,3.0
75270.0,17.101108,0.490712,1.0
5459.0,7.871839,0.717662,2.0
73520.0,8.262131,1.361646,1.0
40279.0,9.015635,1.658555,3.0
21540.0,9.215351,0.806762,3.0
17694.0,6.375007,0.033678,2.0
22329.0,2.262014,1.022169,1.0
46570.0,5.67711,0.709469,1.0
42403.0,11.293017,0.207976,3.0
33654.0,6.590043,1.353117,1.0
9171.0,4.71196,0.194167,2.0
28122.0,8.768099,1.108041,3.0
34095.0,11.502519,0.545097,3.0
1774.0,4.682812,0.578112,2.0
40131.0,12.446578,0.300754,3.0
13994.0,12.908384,1.657722,3.0
77064.0,12.601108,0.974527,1.0
11210.0,3.929456,0.025466,2.0
6122.0,9.751503,1.18205,3.0
15341.0,3.043767,0.888168,2.0
44373.0,4.391522,0.8071,1.0
28454.0,11.695276,0.679015,3.0
63771.0,7.879742,0.154263,1.0
9217.0,5.613163,0.933632,2.0
69076.0,9.140172,0.8513,1.0
24489.0,4.258644,0.206892,1.0
16871.0,6.799831,1.221171,2.0
39776.0,8.752758,0.484418,3.0
5901.0,1.123033,1.180352,2.0
40987.0,10.833248,1.585426,3.0
7479.0,3.051618,0.026781,2.0
38768.0,5.308409,0.030683,3.0
4933.0,1.841792,0.028099,2.0
32311.0,2.261978,1.605603,1.0
26501.0,11.573696,1.061347,3.0
37433.0,8.038764,1.08391,3.0
23503.0,10.734007,0.103715,3.0
68607.0,9.661909,0.350772,1.0
27742.0,9.00585,0.548737,3.0
11303.0,0.0,0.539131,2.0
0.0,5.75714,1.062373,2.0
32729.0,9.164656,1.624565,3.0
24619.0,1.31834,1.436243,1.0
42414.0,14.075597,0.695934,3.0
20210.0,10.10755,1.308398,3.0
33225.0,7.960293,1.21976,3.0
54483.0,6.317292,0.018209,1.0
18475.0,12.664194,0.595653,3.0
33926.0,2.906644,0.581657,1.0
43865.0,2.388241,0.913938,1.0
26547.0,6.024471,0.486215,3.0
44404.0,7.226764,1.255329,3.0
16674.0,4.183997,1.27529,2.0
8123.0,11.850211,1.096981,3.0
42747.0,11.661797,1.167935,3.0
56054.0,3.574967,0.494666,1.0
10933.0,0.0,0.107475,2.0
18121.0,7.937657,0.904799,3.0
11272.0,3.365027,1.014085,2.0
16297.0,0.0,0.367491,2.0
28168.0,13.860672,1.29327,3.0
40963.0,10.306714,1.211594,3.0
31685.0,7.228002,0.67067,3.0
55164.0,4.50874,1.036192,1.0
17595.0,0.366328,0.163652,2.0
1862.0,3.299444,0.575152,2.0
57087.0,0.573287,0.607915,1.0
63082.0,9.183738,0.01228,1.0
51213.0,7.842646,1.060636,3.0
6487.0,4.750964,0.55824,2.0
4805.0,11.438702,1.556334,3.0
30302.0,8.243063,1.122768,3.0
68680.0,7.949017,0.271865,1.0
17591.0,7.875477,0.227085,2.0
74391.0,9.569087,0.364856,1.0
37217.0,7.750103,0.869094,3.0
42814.0,0.0,1.515293,1.0
14738.0,3.39603,0.633977,2.0
19896.0,11.916091,0.025294,3.0
14673.0,0.460758,0.689586,2.0
